 * Serving Flask app 'node22'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://localhost:8022
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 111-361-953
127.0.0.1 - - [23/Oct/2024 00:10:37] "GET /client/load/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 00:10:38] "GET /client/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 00:43:35] "GET /client/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:16:36] "GET /client/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:56] "POST /server/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:51:59] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:01] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:04] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:05] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:05] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:05] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:06] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:07] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:07] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:08] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:08] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:08] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:09] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:10] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:10] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:12] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:14] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:15] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:15] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:15] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:15] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:16] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:17] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:19] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:19] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:19] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:19] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:19] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:20] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:21] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:22] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:23] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:26] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:26] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:27] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:27] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:27] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:27] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:28] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:28] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:28] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:29] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:30] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:30] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:30] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:32] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:32] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:32] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:32] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:33] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:33] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:33] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:34] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:35] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:35] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:35] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:35] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:35] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:36] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:38] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:39] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:40] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:41] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:41] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:42] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:42] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:42] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:43] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:44] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:45] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:45] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:47] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:47] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:47] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:47] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:48] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:49] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:49] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:50] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:50] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:50] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:52] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:54] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:54] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:54] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:54] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:54] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:55] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:55] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:56] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:56] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:57] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:52:58] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:00] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:00] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:01] "POST /server/train/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:01] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:02] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:02] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:02] "POST /server/tasks/ HTTP/1.1" 200 -
127.0.0.1 - - [23/Oct/2024 01:53:03] "POST /server/tasks/ HTTP/1.1" 200 -
